age,workclass,education,marital-status,occupation,relationship,hours-per-week,capital-change,income
Young, Government, Assoc-acdm, Never-married, Protective-serv, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Exec-managerial, Own-child,Normal-workload,Capital-loss, <=50K
Middle-age, Government, Some-college, Married-civ-spouse, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Young, Government, Some-college, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Machine-op-inspct, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Own-child,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Machine-op-inspct, Husband,Over-workload,No-change, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Married-civ-spouse, Tech-support, Husband,Over-workload,No-change, <=50K
Senior, Private, HS-grad, Separated, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Senior, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Senior, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Masters, Divorced, Exec-managerial, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Government, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife,Over-workload,Capital-loss, >50K
Senior, Government, Bachelors, Divorced, Exec-managerial, Not-in-family,Over-workload,No-change, >50K
Middle-age, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Tech-support, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Low-education, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,Capital-gain, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Normal-workload,Capital-gain, <=50K
Middle-age, Private, Low-education, Married-spouse-absent, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Middle-age, Private, Some-college, Divorced, Tech-support, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, >50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Separated, Sales, Own-child,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Prof-specialty, Husband,Less-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Government, Low-education, Married-civ-spouse, Farming-fishing, Husband,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Other-service, Wife,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Craft-repair, Not-in-family,Normal-workload,Capital-gain, >50K
Senior, Private, HS-grad, Divorced, Sales, Own-child,Normal-workload,No-change, <=50K
Senior, Government, HS-grad, Married-civ-spouse, Protective-serv, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Masters, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Low-education, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Doctorate, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, >50K
Senior, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Craft-repair, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Divorced, Machine-op-inspct, Unmarried,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Wife,Normal-workload,Capital-loss, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Protective-serv, Husband,Normal-workload,No-change, >50K
Middle-age, Government, Some-college, Never-married, Handlers-cleaners, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Over-workload,Capital-loss, >50K
Middle-age, Private, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, >50K
Middle-age, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Government, HS-grad, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Masters, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,Capital-gain, >50K
Middle-age, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Tech-support, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, >50K
Young, Private, Low-education, Never-married, Prof-specialty, Own-child,Normal-workload,Capital-gain, <=50K
Middle-age, Private, Low-education, Never-married, Handlers-cleaners, Own-child,Normal-workload,No-change, <=50K
Middle-age, Government, HS-grad, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Sales, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband,Over-workload,Capital-loss, >50K
Young, Private, Some-college, Married-civ-spouse, Sales, Wife,Less-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Never-married, Machine-op-inspct, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Handlers-cleaners, Husband,Over-workload,No-change, <=50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Senior, Government, Assoc-voc, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Own-child,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife,Normal-workload,No-change, >50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child,Less-workload,Capital-loss, <=50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Assoc-acdm, Never-married, Sales, Not-in-family,Over-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,Capital-loss, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Masters, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Young, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family,Normal-workload,Capital-loss, >50K
Senior, Private, Some-college, Never-married, Tech-support, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Transport-moving, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Other-service, Husband,Less-workload,No-change, <=50K
Middle-age, Private, HS-grad, Widowed, Other-service, Unmarried,Less-workload,No-change, <=50K
Senior, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-loss, <=50K
Middle-age, Private, Some-college, Divorced, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Some-college, Divorced, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Other-relative,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Divorced, Prof-specialty, Not-in-family,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Over-workload,No-change, <=50K
Young, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Senior, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried,Less-workload,Capital-loss, <=50K
Middle-age, Private, HS-grad, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Separated, Other-service, Other-relative,Over-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Divorced, Other-service, Unmarried,Normal-workload,No-change, <=50K
Middle-age, Government, Assoc-acdm, Never-married, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Government, Masters, Widowed, Protective-serv, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Handlers-cleaners, Own-child,Less-workload,No-change, <=50K
Senior, Government, Assoc-voc, Widowed, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,Capital-loss, <=50K
Young, Government, HS-grad, Married-civ-spouse, Protective-serv, Husband,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,Capital-loss, >50K
Young, Private, Bachelors, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Young, Government, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Young, Private, HS-grad, Married-spouse-absent, Sales, Unmarried,Less-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Some-college, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Never-married, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Low-education, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, >50K
Middle-age, Government, Some-college, Married-civ-spouse, Adm-clerical, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Divorced, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Masters, Married-civ-spouse, Prof-specialty, Wife,Over-workload,No-change, <=50K
Senior, Government, Doctorate, Married-civ-spouse, Prof-specialty, Husband,Less-workload,No-change, >50K
Middle-age, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family,Less-workload,No-change, <=50K
Young, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Tech-support, Husband,Over-workload,No-change, <=50K
Middle-age, Government, Bachelors, Married-civ-spouse, Tech-support, Husband,Less-workload,No-change, <=50K
Young, Private, Low-education, Married-civ-spouse, Transport-moving, Other-relative,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Government, Masters, Never-married, Exec-managerial, Not-in-family,Over-workload,Capital-gain, >50K
Middle-age, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative,Normal-workload,Capital-gain, >50K
Young, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Masters, Never-married, Prof-specialty, Not-in-family,Normal-workload,Capital-loss, <=50K
Young, Private, HS-grad, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Government, Some-college, Never-married, Prof-specialty, Not-in-family,Normal-workload,Capital-loss, <=50K
Middle-age, Government, HS-grad, Divorced, Adm-clerical, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Other-service, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, HS-grad, Divorced, Craft-repair, Not-in-family,Over-workload,No-change, <=50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife,Normal-workload,Capital-gain, >50K
Young, Private, Low-education, Never-married, Sales, Own-child,Less-workload,No-change, <=50K
Middle-age, Government, HS-grad, Married-civ-spouse, Transport-moving, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Some-college, Never-married, Sales, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Senior, Self-emp-inc, Low-education, Married-civ-spouse, Machine-op-inspct, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Never-married, Exec-managerial, Not-in-family,Over-workload,No-change, >50K
Senior, Private, Assoc-acdm, Divorced, Sales, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Over-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Prof-specialty, Not-in-family,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,Capital-loss, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Less-workload,No-change, <=50K
Senior, Government, Low-education, Never-married, Machine-op-inspct, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, HS-grad, Never-married, Sales, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Prof-specialty, Not-in-family,Less-workload,No-change, <=50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Over-workload,Capital-gain, <=50K
Senior, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family,Less-workload,No-change, <=50K
Senior, Private, HS-grad, Divorced, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Low-education, Separated, Transport-moving, Not-in-family,Normal-workload,Capital-gain, <=50K
Middle-age, Private, HS-grad, Divorced, Sales, Unmarried,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Craft-repair, Other-relative,Normal-workload,No-change, <=50K
Young, Private, Prof-school, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, >50K
Senior, Government, HS-grad, Married-civ-spouse, Other-service, Husband,Normal-workload,No-change, <=50K
Middle-age, Government, Some-college, Never-married, Adm-clerical, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Middle-age, Government, Masters, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Transport-moving, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband,Normal-workload,No-change, >50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife,Less-workload,No-change, <=50K
Young, Government, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband,Over-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Less-workload,No-change, <=50K
Middle-age, Private, Some-college, Divorced, Craft-repair, Not-in-family,Normal-workload,Capital-loss, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Over-workload,No-change, >50K
Middle-age, Private, HS-grad, Never-married, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband,Over-workload,Capital-loss, >50K
Middle-age, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife,Normal-workload,No-change, <=50K
Senior, Government, Low-education, Widowed, Other-service, Unmarried,Normal-workload,No-change, <=50K
Young, Government, Some-college, Never-married, Adm-clerical, Own-child,Normal-workload,No-change, <=50K
Senior, Private, Some-college, Never-married, Transport-moving, Not-in-family,Less-workload,No-change, <=50K
Middle-age, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband,Normal-workload,No-change, >50K
Young, Private, HS-grad, Never-married, Other-service, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Separated, Other-service, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family,Over-workload,No-change, <=50K
Senior, Private, Low-education, Divorced, Craft-repair, Not-in-family,Normal-workload,No-change, <=50K
Middle-age, Private, Bachelors, Divorced, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Sales, Husband,Over-workload,No-change, <=50K
Young, Private, Low-education, Never-married, Other-service, Own-child,Less-workload,No-change, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband,Normal-workload,Capital-gain, <=50K
Young, Private, Low-education, Married-civ-spouse, Craft-repair, Husband,Normal-workload,No-change, <=50K
Middle-age, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband,Over-workload,No-change, >50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child,Less-workload,No-change, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Middle-age, Private, Bachelors, Never-married, Prof-specialty, Not-in-family,Over-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife,Normal-workload,No-change, >50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband,Normal-workload,No-change, >50K
Young, Private, Low-education, Never-married, Other-service, Own-child,Less-workload,Capital-gain, <=50K
Senior, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband,Over-workload,Capital-gain, <=50K
Young, Government, Masters, Never-married, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Divorced, Prof-specialty, Own-child,Normal-workload,No-change, <=50K
Middle-age, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband,Normal-workload,No-change, <=50K
Middle-age, Private, Some-college, Married-civ-spouse, Craft-repair, Husband,Normal-workload,Capital-gain, >50K
Middle-age, Private, Some-college, Never-married, Exec-managerial, Not-in-family,Normal-workload,No-change, <=50K
Young, Private, Some-college, Never-married, Tech-support, Own-child,Normal-workload,No-change, <=50K
